SHARK_ID,DATE_CAP,DAYS_CAP,DATE_START,PAT_END,SPOT_END,DEPLOY_DAYS,PAT_MODEL,PAT_ID,PAT_PTT,PAT_DEPLOY_ID,PAT_MANUFACTURER_ID,SPOT_MODEL,SPOT_ID,SPOT_PTT,SPOT_DEPLOY_ID,SPOT_MANUFACTURER_ID,ACOUSTIC_ID,PAT_RECOVERY,PAT_DATA_TRANS,SPOT_DATA_TRANS,DATA_BINNED,DATA_TS,TBL_cm,SEX,INTERACTION,CAPTURE_GEAR,TARGET FISHERY,LOCATION_REL,LAT_REL,LON_REL,DIST_KM,LAT_END_PAT,LON_END_PAT,DIST_PAT,LAT_END_SPOT,LON_END_SPOT,DIST_SPOT,COMMENTS
06_14,29/10/2006,0,29/10/2006,ND,28/11/2006,30,ND,ND,ND,ND,ND,SPOT5,06S0056,66878,06_14-66878,5f0518f86321be0c6027db6d,ND,ND,ND,YES,ND,ND,154,M,"fishery, commercial","gillnet, general",white sea bass,"South Jetty Beach, California, USA",34.24,-119.279,664,ND,ND,ND,29.37,-115.214,663.8,
07_01,13/06/2007,0,13/06/2007,10/12/2007,ND,180,MK10,06A0531,64272,07_01-64272,5f0281c46321be067895fa3a,ND,ND,ND,ND,ND,ND,YES,YES,ND,YES,NO,145,M,"fishery, commercial","gillnet, set",halibut,"South Jetty Beach, California, USA",34.231,-119.312,83,33.928,-118.483,83.452,ND,ND,ND,"Taggd and released in ventura,popped up in Santa Monica"
07_03,12/07/2007,6,18/07/2007,18/01/2008,28/11/2007,184,MK10,06A0912,66879,07_03-66879,5ebecb346321be11dcc34a23,SPOT5,06S0657,66880,07_03-66880,5f0519136321be0c6027db8c,ND,NO,YES,YES,YES,NO,170,M,"fishery, commercial","gillnet, general",white sea bass,"Will Rogers Beach, California USA",34.02,-118.65,823,27.281,-115.079,823.359,27.872,-114.588,785.6,"Tracked to Vizcaino in November, Released on 7-18? From PAT tag data?"
07_05,23/08/2007,166,5/02/2008,16/06/2008,29/06/2008,145,MK10,06A0928,66885,07_05-66885,5f02823f6321be067895fa42,SPOT5,07S0262,77272,07_05-77272,5f05192f6321be0c6027dc75,ND,YES,YES,YES,YES,NO,145,M,"fishery, commercial","gillnet, general",white sea bass,"Sand City, California, USA",36.632,-121.875,1378,27.43,-112.059,1377.879,28.641,-112.382,1255.5,Released on feb 5th in monterey popped up in Gulf of California
08_01,18/06/2008,0,18/06/2008,13/11/2008,6/02/2009,233,MK10,05A0385,40561,08_01-40561,5ebecadc6321be11dcc3475c,SPOT5,07S0287,77274,08_01-77274,5f0519506321be0c6027dd42,ND,YES,YES,YES,YES,NO,160,F,"fishery, commercial","gillnet, set",white sea bass,"Long Beach, California USA",33.705,-118.238,737,30.535,-116.094,406.14,28.013,-114.279,737,"Shark later killed and SPOT tag (popped San Quintin MX) was reporting in Vizcaino in Febuary (last SPOT location on land, so position on 02/06/09 modified slightly to be on land)"
08_02,20/06/2008,0,20/06/2008,15/11/2008,24/02/2010,614,MK10,05A0378,55716,08_02-55716,5ebecb3b6321be11dcc34afb,SPOT5,07S0286,77273,08_02-77273,5f0519706321be0c6027de05,ND,YES,YES,YES,YES,NO,135,M,"fishery, commercial","gillnet, drift",white sea bass,"Point Castillo, California, USA",34.394,-119.67,858,34.234,-119.521,22.445,28.274,-114.165,857.8,Shark later Killed with SPOT transmitting from Vizcaino February 2010
08_04,26/06/2008,0,26/06/2008,21/11/2008,18/11/2008,148,MK10,06A1312,64252,08_04-64252,5ebf24e06321be11dcc35242,SPOT5,07S0843,83075,08_04-83075,5f0519726321be0c6027deb9,ND,YES,YES,YES,YES,NO,154,F,"fishery, commercial","gillnet, set",white sea bass,"Long Beach, California USA",33.705,-118.25,39,33.894,-118.506,31.694,33.989,-118.491,38.7,"All SPOT in SMB, popped in SMB"
08_07,7/07/2008,0,7/07/2008,4/09/2008,10/08/2008,59,MK10,06A1337,49721,08_07-49721,5ebecb1d6321be11dcc34833,SPOT5,07S0837,83069,08_07-83069,5f0519906321be0c6027df99,ND,NO,YES,YES,YES,NO,142,F,"fishery, commercial","gillnet, drift",white sea bass,"South Jetty Beach, California, USA",34.239,-119.278,392,33.003,-123.247,392.327,33.04,-123.117,379.5,"Popped way out in the middle of no where,Shark was eaten"
08_09,1/08/2008,0,1/08/2008,27/12/2008,27/01/2010,544,MK10,07A0937,83066,08_09-83066,5ebecb7d6321be11dcc34b01,SPOT5,07S0844,83076,08_09-83076,5f0519916321be0c6027dfb5,ND,YES,YES,YES,YES,NO,154,M,"fishery, commercial","gillnet, drift",white sea bass,"Leadbetter Beach, California, USA",34.386,-119.663,888,33.995,-118.576,109.023,27.856,-114.291,887.7,Last Detected Jan 27 2010 in Vizcaino
08_11,16/08/2008,22,7/09/2008,16/10/2008,ND,39,MK10,07A0930,83060,08_11-83060,5f04bc4e6321be0c6027d2b5,ND,ND,ND,ND,ND,ND,YES,YES,ND,YES,NO,136,F,research,purse seine,NA,"Goleta, California, USA",34.415,-119.83,62,34.073,-120.369,62.456,ND,ND,ND,
